Thang	Lamphat	M2	SLSXCN	r
5-Jan	109.7	503131.4	29247.4	6.54
5-Feb	109.1	510205.5	27659.7	6.54
5-Mar	108.4	517023.5	32820.7	6.54
5-Apr	108.5	526884.3	33937.9	7.2
5-May	108.1	533128.3	34526.6	7.2
5-Jun	107.6	544601.1	35779.1	7.2
5-Jul	107.5	548352.3	35617.3	7.2
5-Aug	107.3	566700.7	36774.2	7.2
5-Sep	107.8	577793.4	36926.6	7.53
5-Oct	108.3	588309.3	36886.5	7.53
5-Nov	108.5	604792.2	38212.7	7.53
5-Dec	108.4	648574	42478	7.53
6-Jan	108.8	677389	40952	7.53
6-Feb	108.4	675823.3	36325	7.65
6-Mar	107.7	699988.4	42412	7.65
6-Apr	107.3	704994.1	42973	7.65
6-May	107.5	714823	36329	7.53
6-Jun	107.6	727165	42803	7.65
6-Jul	107.5	735205	42588	7.65
6-Aug	107.5	751782	34461	7.65
6-Sep	106.9	753011	46221	7.65
6-Oct	106.7	767107	31719	7.65
6-Nov	106.9	789930	44649	7.65
6-Dec	106.6	841010	50534	7.65
7-Jan	106.5	872550	49212	7.68
7-Feb	106.5	905455	35392	7.68
7-Mar	106.8	949180	45154	7.65
7-Apr	107.2	979673	47345	7.65
7-May	107.3	1005314	47953	7.65
7-Jun	107.8	1029562	50065	7.44
7-Jul	108.4	1056450	50257	7.44
7-Aug	108.6	1076897	42997	7.44
7-Sep	108.8	1110983	49584	7.44
7-Oct	109.3	1154500	49764	7.44
7-Nov	110	1183136	51157	7.2
7-Dec	112.6	1253997	55949	7.2
