CONSUM	Y	I
873.8	944.5	70.7
899.8	989.4	89.6
919.7	1012.1	92.4
932.9	1028.8	95.9
979.4	1067.2	87.8
1005.1	1091.1	86
1025.2	1123.2	98
1069	1170.2	101.2
1108.4	1207.3	98.9
1170.6	1291	120.4
1236.4	1365.7	129.3
1298.9	1431.3	132.4
1337.7	1493.2	155.5
1405.9	1551.3	145.4
1456.7	1599.8	143.1
1492	1668.1	176.1
1538.8	1728.4	189.6
1621.9	1797.4	175.5
1689.6	1916.3	226.7
1674	1896.6	222.6
1711.9	1931.7	219.8
1803	2001	198
1883.8	2066.6	182.8
1961	2167.4	206.4
2004.4	2212.6	208.2
2000.4	2214.3	213.9
2024.2	2248.6	224.4
2050.7	2261.5	210.8
2146	2331.9	185.9
2246.3	2470.6	224.3
2324.5	2528	203.5
2418.6	2603.7	185.1
