y	cons	i	r	g
43.517	30.217	9.727	19.042	3.572
50.931	45.836	1.571	18.292	3.523
56.334	37.275	13.798	16.054	5.262
67.66	42.143	20.915	9.384	4.602
63.977	47.028	12.943	10.47	4.005
77.357	45.185	27.917	18.189	4.255
67.304	54.27	8.088	12.248	4.946
59.548	47.004	7.338	11.278	5.206
51.849	33.955	12.102	14.229	5.792
48.479	25.83	17.161	19.755	5.488
21.57	9.218	6.622	15.42	5.729
27.341	24.947	0.067	14.035	5.461
30.031	18.331	4.649	8.587	7.051
48.359	42.881	0.995	14.138	6.473
59.483	27.637	25.084	6.118	6.761
43.698	25.7	11.169	15.916	6.828
52.686	31.062	13.707	15.224	7.917
61.496	49.972	4.797	7.613	6.727
110.467	68.655	33.136	10.88	8.675
99.937	54.229	38.376	10.524	7.332
89.862	58.498	24.137	19.236	7.228
93.716	51.197	34.591	16.802	7.927
88.036	67.538	11.692	12.662	8.806
124.089	73.149	41.889	15.625	9.05
94.129	55.661	30.305	18.114	8.164
59.892	31.469	20.079	16.087	8.344
53.502	25.717	18.426	17.452	9.359
45.677	20.876	15.847	15.106	8.954
72.337	52.665	9.264	18.039	10.408
93.513	46.519	36.723	7.722	10.271
80.49	51.252	18.324	17.67	10.914
80.07	53.369	16.585	19.447	10.116
77.235	53.343	14.104	15.462	9.788
76.731	47.003	19.509	12.87	10.219
78.813	36.451	30.691	5.484	11.671
112.207	64.928	35.95	7.195	11.329
140.327	85.949	42.423	11.959	11.956
137.9	77.82	48.019	7.105	12.061
132.317	75.999	43.845	5.694	12.473
149.423	93.575	42.962	8.258	12.885
135.115	77.4	44.942	16.949	12.774
132.813	68.397	51.086	17.793	13.33
123.915	78.177	33.111	18.676	12.626
143.804	84.703	46.529	12.672	12.571
128.086	82.504	33.466	7.897	12.116
124.524	62.217	48.958	9.705	13.349
122.158	75.356	32.716	7.719	14.086
115.744	56.283	45.937	7.976	13.524
116.275	72.794	29.626	19.81	13.855
139.871	70.84	54.401	17.817	14.63
