p 	q	ps	di	pf
9.88	19.89	19.97	21.03	10.52
13.41	13.04	18.04	20.43	19.67
11.57	19.61	22.36	18.7	13.74
13.81	17.13	20.87	15.25	17.95
17.79	22.55	19.79	27.09	13.71
12.84	6.37	15.98	24.89	24.95
18.11	15.02	17.94	22.94	24.71
13.52	10.22	17.09	21.96	23.61
22.45	23.64	22.72	38.85	19.52
16.55	16.12	15.74	31.69	20.03
19.39	24.55	24.64	26.23	15.38
22.29	18.92	23.7	30.07	22.98
16.65	11.94	15.93	33.67	25.76
21.65	18.93	23.34	32.9	25.17
17.56	12.6	15.21	37.46	25.82
20.4	20.49	26.04	35.18	19.31
26.85	22.94	22.95	43.81	26.02
29.98	21.08	27.1	41.21	29.65
23.59	16.68	23.65	38.2	27.45
19.11	17.61	20.06	43.98	18
15.41	16.62	26.38	37.64	18.87
25.81	20.99	24.28	45.24	24.58
27.67	24.53	26.64	48.15	25.25
23.57	19.67	22.65	36.7	24.24
22.25	23.29	19.68	43.92	22.63
25.6	16.64	23.82	46.03	27.35
27.9	20.81	28.98	46.32	27.8
27	14.95	18.52	48.94	30.34
29.48	26.27	28.16	51.25	24.12
35.15	20.65	28.43	48.36	34.01
