p	q	y
10.763	11.632	487.648
13.033	12.029	364.877
9.244	8.916	541.037
4.605	33.908	760.343
13.045	4.561	421.746
7.706	17.594	578.214
7.405	18.842	561.734
7.519	11.637	301.47
8.764	7.645	379.636
13.511	7.881	478.855
4.943	9.614	433.741
8.36	9.067	525.702
5.721	14.07	513.067
7.225	15.474	408.666
6.617	3.041	192.061
14.219	14.096	462.621
6.769	4.118	312.659
7.769	10.489	400.848
9.804	6.231	392.215
11.063	6.458	377.724
6.535	8.736	343.552
11.063	5.158	301.599
4.016	16.618	294.112
4.759	11.342	365.032
5.483	2.9903	256.125
7.89	3.138	184.798
8.46	15.315	359.084
6.195	22.24	629.378
6.743	10.012	306.527
11.977	3.982	347.488
