age	beer	d1	d2	d3	sex	y
25	109	0	0	0	1	15000
45	0	0	0	0	1	30000
20	0	0	0	0	1	12000
28	108	0	0	0	1	20000
25	220	1	0	0	1	15000
35	189	1	0	0	1	30000
40	64	1	0	0	1	12000
22	262	1	0	0	1	12000
30	64	1	0	0	1	28000
21	35	1	0	0	1	22000
40	94	1	0	0	1	44000
21	71	0	1	0	1	10000
45	403	0	1	0	1	222000
36	41	0	1	0	1	32000
36	10	0	1	0	1	45000
40	110	0	1	0	1	55000
23	239	0	1	0	1	29000
32	63	0	1	0	1	39000
52	0	0	1	0	1	70000
30	106	0	0	1	1	55000
45	0	0	0	1	0	90000
32	141	0	0	0	0	6000
20	299	0	0	0	0	18000
55	148	0	0	0	0	55000
18	424	1	0	0	0	10000
30	242	1	0	0	0	23000
45	119	1	0	0	0	35000
40	338	1	0	0	0	38000
50	135	1	0	0	0	45000
32	590	1	0	0	0	85000
30	324	1	0	0	0	22000
51	87	1	0	0	0	25000
22	395	0	1	0	0	29000
40	513	0	1	0	0	132000
30	56	0	1	0	0	35000
36	400	0	1	0	0	80000
27	384	0	1	0	0	55000
24	262	0	1	0	0	30000
21	336	0	1	0	0	27000
45	281	0	0	1	0	80000
